Enfermedad,Abstract,Tratamiento,Diagnostico
Onicomicosis,"La onicomicosis[1]​ (del griego ὄνυξ, uña, y μυκος, hongo), tiña de las uñas o tiña ungueal es una infección crónica y progresiva de las uñas causada por hongos. En la mayoría de los casos es producida por dermatofitos, y menos frecuentemente por levaduras y mohos. Es la enfermedad más frecuente de las uñas.[2]​[3]​","El tratamiento de la onicomicosis es un reto porque la infección se inserta dentro de la uña y es difícil de alcanzar, la eliminación completa de los síntomas es lenta y puede tardar un año o más. El tratamiento se divide en dos vías: vía tópica y vía sistemica. La vía tópica incluye soluciones en las uñas, cremas, talcos y láser. La vía sistemica, con antifúngicos como ketaconazol, itraconazol, terbinafina.","La combinación de la historia clínica, el examen físico y el diagnóstico de laboratorio son críticos para el correcto diagnóstico. La onicomicosis causada por otros organismos son muy similares en su presentación clínica. El examen directo con KOH al 30 % y el cultivo micológico (agar de Sabouraud) confirmará la dermatofitosis correcta, de existir una. La toma de la muestra es sencilla, examinando raspados de la uña o debridamiento del tejido lesionado debajo o alrededor de la uña. La limpieza del área de toma de muestra con alcohol al 70 por ciento minimiza la contaminación de agentes ambientales y flora normal. Los dermatofitos en la onicomicosis son difíciles de cultivar y alrededor de un 50% de las muestras no crecen en los medios de cultivo, además es importante tomar en cuenta que estos hongos crecen lentamente y pueden tardar de 14 a 28 días en que el cultivo sea positivo.[7]​"
Paroniquia,"La paroniquia, llamada también uñero, panadizo de primer grado o panadizo periungueal agudo, es la infección en la piel que rodea a las uñas de los dedos en pies o manos. El pliegue ungueal manifesta inflamación con destrucción de la cutícula y ocasionalmente con supuración. Puede necesitar tratamiento médico-quirúrgico.[1]​",Los tratamientos son diferentes en la paroniquia aguda y crónica.[4]​[5]​,"El médico interroga acerca de los síntomas e historial médico y realiza una exploración física. Si hay pus, puede recomendar drenarla. No debe tratar de drenar el pus por usted mismo. El facultativo podría enviar una muestra del pus al laboratorio para examen. La muestra puede ser cultivada para identificar lo que está causando la infección."
Discinesia paroxística no cinesigénica,La discinesia paroxística no cinesigénica es una condición genética autosómica dominante muy infrecuente la cual afecta al sistema nervioso y a los músculos alrededor del cuerpo. Sus síntomas suelen ser agravados por acciones tales como el consumo de bebidas alcohólicas.[1]​,"El tratamiento farmacéutico (es decir, con medicamentos) generalmente no tiene efectos en la salud mayores tanto negativos como positivos, aunque en algunas personas el uso de medicación como la gabapentina, el levetiracetam, acetazolamido, clonazepam, o diazepam puede servir para controlar los síntomas. También se pueden evitar los factores que causan y/o empeoran a los síntomas, como el consumo de bebidas con cafeína o las situaciones estresantes.[3]​","Esta condición puede ser diagnosticada por medio del análisis médico profesional de los síntomas que una persona con la condición padece, y por medio del análisis molecular del gen que típicamente está involucrado en la condición. El historial familiar de episodios discinéticos similares a los del paciente también es importante.[3]​[13]​[14]​"
Síndrome de Smith-Magenis,"El síndrome de Smith-Magenis es una enfermedad de origen génetico causada por una deleción 17p11.2, es decir la pérdida de un fragmento del cromosoma 17 humano. Provoca síntomas y malformaciones múltiples que afectan a varios órganos, incluyendo déficit intelectual, retraso en el desarrollo psicomotor y el habla, anomalías craneales, faciales y del esqueleto, así como trastornos psiquiátricos.[1]​[2]​","No existe tratamiento curativo, las medidas terapéuticas se basan en el control de los síntomas, medidas fisioterapéuticas y de apoyo psicológico.",Se sospecha el diagnóstico por los síntomas y se confirma mediante estudio genético y cariotipo que muestra la pérdida de una fracción del brazo corto del cromosoma 17.
Cefalea postpunción,"La cefalea postpunción lumbar es una complicación frecuente de la punción lumbar (PL), método utilizado desde 1891 tanto para fines diagnósticos como terapéuticos, y que sigue siendo hoy un procedimiento ampliamente utilizado.","La mayoría de cefaleas postpunción lumbar resuelven sin tratamiento específico, solo utilizando rehidratación, analgésicos, opioides o antieméticos. Sin embargo, existen dos tipos de tratamiento:[4]​

Tratamiento conservador: hidratación, reposo, cafeína, teofilina, gabapentina, hormona adrenocorticotropa, hidrocortisona.
Tratamiento invasivo: parche hemático, solución salina, goma de fibrina.


== Referencias ==","Al presentarse cefalea postural con el antecedente de punción de la duramadre, deliberada o accidental, y que este asociada a rigidez nucal y síntomas neurológicos usualmente guían el diagnóstico. El estudio de imágenes por resonancia magnética (IRM) pueden revelar descenso de estructuras intracraneanas, realce paquimeníngeo, higromas espinales y colecciones focales de líquido en la región retroespinal superior.[4]​"
Esteatorrea,"La esteatorrea es un tipo de diarrea, caracterizada por la presencia de secreciones lipídicas en las heces. La diarrea se debe a complicaciones en la función normal del sistema gastrointestinal, en el cual se nota una alta disminución de la absorción de agua y electrolitos en el intestino llevando a lo que se ha llamado como “heces sueltas”. Ahora bien, en la esteatorrea se pueden encontrar elementos correspondientes a lípidos que no fueron bien metabolizados en la vía digestiva, lo que se puede deber a diferentes anormalidades en la capacidad absortiva del tracto. ","Entre la lista de medicamentos que sirven para tratar la esteatorrea, se encuentran la auxina E, hepatical, liquigen y vitamina E.","Para saber si una persona tiene o no esteatorrea, es importante una revisión de sus secreciones fecales. Generalmente, se ha descrito como posible síntoma de esteatorrea a las heces aceitosas o de colores claros, por lo que si se identifican estos factores se debería acudir a la atención médica. Además, si se están consumiendo algunos de los medicamentos que impidan la absorción de lípidos en el tracto intestinal, se recomienda su suspensión hasta obtener valoración médica."
Hiperparatiroidismo primario,"El hiperparatiroidismo primario está causado normalmente por un tumor en las glándulas paratiroideas. Los síntomas de esta afección se relacionan con niveles de calcio elevados, los cuales pueden causar síntomas digestivos, piedras en el riñón, anomalías psiquiátricas, y enfermedades óseas.","El tratamiento generalmente es la extracción quirúrgica de la glándula(s) con adenomas, aunque la medicación también puede ser necesaria.","El diagnóstico de hiperparatiroidismo primario se realiza con análisis de sangre.
Los niveles de calcio en suero están elevados, y el nivel de hormona paratiroidea es anormalmente alto comparado con un nivel bajo esperado en respuesta al calcio alto. Se ha estimado que un nivel relativamente alto de hormona paratiroidea tiene una sensibilidad de 60–80% y una especificidad de aproximadamente el 90% para el hiperparatiroidismo primario.[8]​
Una forma más potente para comparar el equilibrio entre calcio y hormona paratiroidea es realizar una infusión de calcio en 3 horas. Después de la infusión, un nivel de hormona  paratiroidea por encima de un límite de 14 ng/l tiene una sensibilidad del 100% y una especificidad de 93% en la detección del hiperparatiroidismo primario, con un intervalo de confianza de 80% a 100%.[9]​
Ocasionalmente se mide el AMPc urinario; generalmente se ve elevada su concentración debido a la activación de proteínas G cuando la PTH se une a su receptor.[10]​
La confirmación bioquímica del hiperparatiroidismo primario está seguida de investigaciones para localizar la lesión causante. El hiperparatiroidismo primario se debe con mayor frecuencia a un adenoma paratiroideo solitario. Con menos frecuencia, se puede deber a adenomas paratiroideos dobles o a hiperplasia paratiroidea. La gammagrafía con Tc99 sestamibi de cabeza, cuello y tórax superior es la prueba más utilizada para localizar adenomas paratiroideos, teniendo una sensibilidad y especificidad de 70–80%. La sensibilidad cae al 30% en caso de adenomas paratiroideos dobles/múltiples o en caso de hiperplasia paratiroidea. La ecografía también  es una prueba útil en la localización de lesiones paratiroideas sospechosas."
Potomanía,"La potomanía, polidipsia psicogénica o polidipsia primaria (del griego 'ποτος', potos=bebida, por extensión potable=agua bebible) y manía; y del latín 'mania', y este del griego 'μανία'=locura, demencia) es el deseo impulsivo de beber grandes cantidades de líquidos, por ejemplo, el agua, como resultado de una enfermedad mental.[1]​ Aunque la potomanía no está incluida en ningún apartado de las clasificaciones de psiquiatría actuales como un diagnóstico específico, podría incluirse por sus características en la clasificación de trastornos del control de los impulsos no clasificados.","Para tratar la potomanía se pueden administrar diuréticos al paciente, que sirvan para aumentar la excreción de líquido por parte de los riñones, lo que ayudara a incrementar el nivel de sodio y a mitigar los síntomas. Sin embargo, para erradicar el problema el tratamiento debe ser diferente dependiendo de la causa que lo haya originado, aunque se suele comenzar por restringir la ingesta de líquido a no más de litro y medio diario.
En el caso de que se produzca a causa de enfermedades mentales, el tratamiento deberá ser psicoterapia, acompañada en algunos casos por medicación psicotrópica. Esta medicación que actúa sobre el sistema nervioso central, se caracteriza por modificar la percepción, el ánimo, el estado de consciencia y el comportamiento del paciente durante un determinado periodo de tiempo.
Si el trastorno aparece como consecuencia del uso de fármacos, estos deben de ser sustituidos por otros medicamentos que no provoquen este efecto secundario.
El tratamiento de la potomanía -o polidipsia psicogénica- sin base orgánica es la psicoterapia o medicamentos psicotrópicos.","Como cualquier otro trastorno mental, las personas que lo sufren rara vez son conscientes de ello, sino hasta que el cuadro clínico indica que requiere tratamiento, muchas veces siendo demasiado tarde ya que la salud del paciente ya se ha visto comprometida.
La potomanía suele ser el indicio de un trastorno psicológico que debe ser tratado en cuanto se detecte. Es habitual que este desorden alimenticio esté asociado a otros trastornos del mismo espectro como la Bulimia o especialmente, la Anorexia, por lo que la salud del afectado puede verse seriamente comprometida si no se interviene cuanto antes.
Cuando una persona ingiere más de cuatro litros de agua al día sin motivo aparente, y especialmente si supera los seis litros, debe acudir al médico sin esperar a que se presenten los síntomas. Una vez descartado que exista un problema orgánico como una alteración en el hipotálamo o una diabetes mellitus, el médico remitirá al paciente a la atención especializada que considere necesaria, normalmente un psicólogo, psiquiatra o nutriólogo especialista en trastornos alimentarios, podrá brindarle la ayuda necesaria.
Para realizar un diagnóstico, diferenciando la potomanía de la dipsomanía, se hace a través de la anamnesis, aunque en casos complejos o con componentes de simulación puede ser necesaria la hospitalización para realizar un estudio  clínico-biológico  controlado; en este estudio podrá observarse como la osmolalidad plasmática y urinaria se reducen a causa de la privación hídrica, para así concluir un diagnóstico acertado y proceder a un tratamiento."
Tricuriasis,"La tricuriasis[1]​ (tricurosis o tricocefalosis) es una enfermedad parasitaria causada por infestación del intestino grueso (mucosa superficial) por un parásito llamado Trichuris trichiura. La tricuriasis es una enfermedad común mundialmente, en especial en países con climas cálidos y húmedos. Los niños son los más afectados, al ingerir huevos de gusanos, los cuales se instalan en la pared del colon. El principal factor de riesgo corregible es la ingestión de huevos de suelos contaminados con heces. Con poca frecuencia se transmite ingeriendo vegetales, a menos que estos estén contaminados con heces.","El tratamiento oral con mebendazol por 3 días, por lo general, es suficiente en infecciones sintomáticas. Otros agentes antiparasíticos como el albendazol pueden ser usados como terapia alternativa. Con el tratamiento correcto se espera la recuperación total y sin secuelas del paciente. En casos crónicos y severos se tienen que corregir posibles complicaciones, como la deshidratación y la anemia. Con menos frecuencia se tiene que tratar un prolapso rectal.
Es preferible tratar todos los casos, aunque la urgencia del tratamiento está en proporción a la intensidad de la infección y la sintomatología. Cuando se presenta el prolapso rectal (sobre todo en niños), se corrige reduciendo la carga parasitaria y mejorando sobre todo el estado nutricional del paciente. La OMS preconiza el tratamiento en masa de la población escolar en zonas endémicas, repitiéndolo cada 5-6 meses, pues si las condiciones sanitarias no se elevan se producen reinfecciones. Hay varios antihelmínticos eficaces siendo preferibles los pamoatos porque no se absorben. Los programas de desparasitación de helmintos intestinales influyen en un mejor aprovechamiento escolar, mejoran la absorción de nutrientes, disminuyen el deterioro cognitivo infantil e incrementan  el desarrollo físico y psíquico.


== Referencias ==","La tricocefalosis se diagnostica mediante la identificación de los típicos huevos de T. trichiura en un examen de heces, o por identificación de los gusanos adultos mediante una proctoscopia. Los métodos cuantitativos son preferibles, pues permiten conocer la intensidad de la infección. Se considera que existe una tricocefalosis leve cuando hay menos de 1.000 h/g, mediana entre 1.000 y 10.000 h/g e intensa, con más de 10.000 h/g. En estos casos la sintomatología digestiva es principalmente el síndrome disentérico. Se obtiene el número aproximado de parásitos adultos dividiendo por 200 el número de h/g en materias fecales."
Síndrome de Bartter,"El Síndrome de Bartter es un defecto genético raro en la porción gruesa del asa ascendente de Henle(riñón). Se caracteriza por presentar hipopotasemia (disminución de potasio en sangre), alcalosis metabólica y presión arterial normal o baja. Hay dos tipos diferentes de síndrome de Bartter: neonatal y clásico. El síndrome de Gitelman es una patología muy relacionada con este síndrome, de características intermedias entre ambos tipos.","Los pacientes deben llevar a cabo una dieta con altos niveles de sodio y potasio. También puede ser necesario el uso de suplementos de potasio, o el uso de espironolactona para disminuir su pérdida urinaria.[6]​
También se pueden utilizar AINEs, que son particularmente útiles en pacientes con síndrome de Bartter neonatal.
También pueden utilizarse los IECAs.","Los pacientes con síndrome de Bartter presentan síntomas idénticos a aquellos pacientes que toman diuréticos de asa, como la furosemida.
Los hallazgos clínicos del síndrome de Bartter son hipopotasemia, alcalosis metabólica y presión arterial normal o baja. Estos hallazgos también pueden ser causados por:

Vómitos crónicos: Estos pacientes también pueden tener niveles urinarios de cloro bajos.
Abuso de medicación diurética: Antes de hacer el diagnóstico debe excluirse el uso de diuréticos como causa del cuadro clínico.
Deficiencia de magnesio y calcio: estos pacientes también tendrán niveles de calcio y magnesio en orina.Los pacientes con síndrome de Bartter también pueden tener niveles de renina y aldosterona elevados.
El síndrome de Bartter prenatal puede asociarse con polihidramnios."
Parálisis facial periférica,"La parálisis facial periférica consiste en un síndrome agudo con debilidad de la musculatura facial por afectación del nervio facial después del núcleo de este nervio (infranuclear). Si el origen es anterior al núcleo (supranuclear), no es parálisis periférica, sino parálisis central, y tiene importancia distinguir las dos afecciones (la parálisis facial central es contralateral a la lesión y afecta a la hemicara inferior, mientras que la parálisis facial periférica es ipsilateral y afecta a toda la hemicara).[5]​","No existe una cura o curso estándar de tratamiento para la parálisis de Bell. El factor más importante en el tratamiento es eliminar la fuente del daño nervioso. Así también es importante iniciar el tratamiento en las primeras 72 h cuando este indicado, y este se divide en dos aspectos importantes el tratamiento médico y la rehabilitación.
La parálisis de Bell afecta a cada individuo en forma diferente. Algunos casos son leves y no necesitan tratamiento ya que generalmente los síntomas remiten por sí solos en 2 semanas. Para otros, el tratamiento puede incluir medicamentos y otras opciones terapéuticas.
Estudios recientes han demostrado que los esteroides son un tratamiento eficaz para la parálisis de Bell y que un medicamento antiviral como aciclovir está indicado en el síndrome de Ramsay Hunt, combinado con un antiinflamatorio tal como el esteroide prednisona (que reduce la inflamación e hinchazón, pueden ser eficaces para mejorar la función facial al limitar o reducir el daño al nervio. Analgésicos como la aspirina, paracetamol, o ibuprofeno pueden aliviar el dolor. 
Otro factor importante en el tratamiento es la protección ocular. La parálisis de Bell puede interrumpir la capacidad natural de parpadeo del párpado, dejando al ojo expuesto a la irritación y la sequedad. Por ello, es importante mantener el ojo húmedo y protegerlo de lesiones, especialmente de noche. Las gotas oculares lubricantes, tales como lágrimas artificiales, ungüentos o geles oculares y los parches oculares también son eficaces.
La fisioterapia para estimular al nervio facial y ayudar a mantener el tono muscular puede ser beneficiosa para algunas personas. El masaje y los ejercicios faciales pueden ayudar a evitar las contracturas permanentes (contracción o acortamiento de músculos) de los músculos paralizados antes de que se produzca la recuperación. El calor húmedo aplicado al lado afectado de la cara puede ayudar a disminuir el dolor.
Otras terapias que pueden ser útiles para algunos individuos son las técnicas de relajación, acupuntura, estimulación eléctrica, capacitación de biorretroalimentación, y terapia con vitaminas (vitaminas B12, B6 y zinc), que estimulan el crecimiento nervioso.
En general, la cirugía de descompresión para la parálisis de Bell, para aliviar la presión sobre el nervio, es controvertida y se recomienda poco. En ocasiones infrecuentes, puede ser necesaria la cirugía plástica reconstructiva para reducir deformidades y corregir algunos daños tales como un párpado que no cierre completamente o una sonrisa torcida.","El diagnóstico de parálisis de Bell se hace sobre la base de la presentación clínica, que incluye un aspecto facial deformado y la incapacidad de mover músculos en el lado afectado de la cara, y descartando otras causas posibles de parálisis facial. No existe un análisis específico de laboratorio para confirmar el diagnóstico de este trastorno.
Generalmente, un médico examinará al individuo en búsqueda de debilidad facial superior e inferior. En la mayoría de los casos esta debilidad está limitada a un lado de la cara u ocasionalmente a la frente, el párpado o la boca. Una prueba llamada electromiografía (EMG) puede confirmar la presencia de daño nervioso y determinar la gravedad y el alcance de la participación nerviosa. Una radiografía del cráneo puede ayudar a descartar una infección o un tumor. Las imágenes por resonancia magnética (IRM) o la tomografía computarizada (TC) pueden eliminar otras causas de presión del nervio facial.[cita requerida]"
Choque hipovolémico,"El choque hipovolémico es un síndrome complejo que se desarrolla cuando el volumen sanguíneo circulante baja a tal punto que el corazón se vuelve incapaz de bombear suficiente sangre al cuerpo.[1]​ Es un estado clínico en el cual la cantidad de sangre que llega a las células es insuficiente para que estas puedan realizar sus funciones. Este tipo de choque puede hacer que muchos órganos dejen de funcionar, por lo tanto, el choque hipovolémico es una emergencia médica.","Aunque el organismo puede compensar la pérdida de tensión por medio de reflejos autónomos, en ocasiones la pérdida de líquidos es tan extensa que es necesario aplicar un tratamiento para corregir la situación. El tratamiento médico inicial para el choque hipovolémico debe tener como finalidad el arreglo de tres áreas principales: maximizar el suministro de oxígeno—asegurando una adecuada ventilación, aumentando la saturación de oxígeno de la sangre, y restaurando el flujo sanguíneo; el control de la pérdida de sangre; y la restitución con líquidos.","Después de la toma de la historia clínica y el examen físico del paciente, la conducta a seguir depende de la causa probable de la hipovolemia, así como la estabilidad de la condición del paciente."
Síndrome de Marden-Walker,"El Síndrome de Marden-Walker es un trastorno hereditario infrecuente el cual se caracteriza por dismorfismos craniofaciales, artrogriposis, anomalías digitales y del paladar, y cifoescoliosis.[1]​",El tratamiento esta enfocado en los síntomas mismos.,"El diagnóstico consiste principalmente en el examen de síntomas del paciente, resonancia magnética nuclear cerebral, ecocardiografías, y radiografías.[2]​"
Mucositis,"La mucositis es la inflamación de las membranas mucosas del revestimiento del tracto gastrointestinal (GI). Normalmente se trata de un efecto adverso de los tratamientos de quimioterapia y radioterapia del cáncer.[1]​ También se han reportado casos en personas expuestas a agrotóxicos. Puede presentarse en cualquier punto del tracto gastrointestinal, pero el término mucositis oral se refiere exclusivamente a la inflamación y ulceración de la mucosa bucal. La mucositis oral es una complicación frecuente y a menudo debilitante del tratamiento del cáncer.[2]​","El tratamiento de la mucositis es principalmente de apoyo. La higiene bucal es el eje central del tratamiento; a los pacientes se les aconseja que se laven la boca con regularidad y antes de acostarse, y más a menudo si la mucositis empeora. Se pueden utilizar geles solubles en agua para lubricar la boca. Un enjuague bucal con sal puede aliviar el dolor y eliminar las partículas de comida con el fin de evitar infección. También se recomienda a los pacientes que beban líquidos en abundancia y que eviten el consumo de alcohol. Los cítricos, el alcohol y los alimentos picantes empeoran las lesiones de la mucositis. Se pueden utilizar enjuagues bucales medicinales, como por ejemplo el gluconato de clorhexidina y la lidocaína viscosa, para aliviar el dolor. La palifermina es un factor de crecimiento de queratinocitos (KGF, por sus siglas en inglés), que ha demostrado aumentar la proliferación, diferenciación y migración de las células epiteliales que revisten la boca y el tubo digestivo. Se conocen casos en los que se han administrado terapias experimentales tales como el uso de citocinas y otros modificadores de la inflamación (por ejemplo, IL-1, IL-11, TGF-beta-3), suplementos de aminoácidos (por ejemplo, glutamina), vitaminas, factores de estimulación de colonias, crioterapia y terapia láser. El uso de agentes barrera, que actúan como protección de las terminaciones nerviosas expuestas, puede proporcionar alivio sintomático del dolor de la mucositis oral, aunque no la previene ni la trata. Caphosol es un enjuague bucal con estudios clínicos publicados que han demostrado su eficacia en la prevención y en el tratamiento de la mucositis oral causada por la radiación y por altas dosis de quimioterapia, reduciendo la frecuencia, intensidad y duración de la mucositis oral, incluso en pacientes sometidos a TCMH.[8]​[9]​","El diagnóstico se basa en los síntomas que sufre el paciente y en el aspecto de los tejidos bucales tras quimioterapia, trasplantes de médula ósea o radioterapia. La aparición en la boca de llagas o úlceras rojas que se asemejan a una quemadura es suficiente para determinar el diagnóstico de mucositis.
La gravedad de la mucositis oral puede evaluarse utilizando diferentes escalas de valoración. Dos de las más utilizadas son la escala de toxicidad oral de la Organización Mundial de la Salud (OMS)[5]​ y los criterios de toxicidad común del Instituto Nacional del Cáncer (NCI-CTC, por sus siglas en inglés).[6]​ Mientras que el sistema NCI puntúa el aspecto (eritema y ulceración) y la función (dolor y capacidad de ingerir sólidos, líquidos o nada a través de la boca) por separado, la puntuación de la OMS combina ambos elementos en una única puntuación que valora la gravedad de esta complicación en una escala de 0 (no presenta mucositis oral) a 4 (el paciente es incapaz de tragar, por lo cual necesita nutrición complementaria). Otra escala desarrollada en 1999, la escala de valoración de la mucositis oral (OMAS, por sus siglas en inglés), ofrece una valoración objetiva de la mucositis oral basada en la evaluación del aspecto y grado de enrojecimiento y ulceración en varias zonas de la boca[7]​"
Dolor pélvico,"El dolor pélvico es un dolor en el área de la pelvis. El dolor agudo es más común que el dolor crónico. Si el dolor dura más de seis meses, se considera dolor pélvico crónico. Puede afectar tanto a mujeres como a hombres.",,
Sinovitis vellonodular pigmentada,"La sinovitis vellonodular pigmentada es una neoplasia benigna de la sinovial que se origina en articulaciones, bolsas sinoviales o vainas tendineas, que se caracteriza por la proliferación en la membrana sinovial de células gigantes e histiocitos, con depósito difuso de hemosiderina.[1]​[2]​","El tratamiento de elección es la cirugía, ya sea artroscópica o abierta, mediante sinovectomía total.[5]​ En los casos en los que la sinovectomía no se pueda realizar de forma completa se puede asociar radioterapia para mejorar los resultados de tratamiento.


== Referencias ==","La sinovitis vellonodular pigmentada suele aparecer en adultos jóvenes en forma de derrame articular recidivante, progresando lentamente hasta monoartritis crónica. La exploración física no muestra datos de patología ósea o de rodilla inestable y los estudios con radiografía convencional no aportan datos relevantes. El diagnóstico se realiza habitualmente mediante resonancia magnética, pudiendo ser confirmado más tarde mediante biopsia.[4]​"
Hemorragia de la retina,"La hemorragia retiniana es un trastorno del ojo en el que se produce una hemorragia en la retina, el tejido sensible a la luz, situado en la pared posterior del ojo.[1]​ En la retina hay unas células fotorreceptoras llamadas bastones y conos, que transducen la energía de la luz en señales nerviosas que pueden ser procesadas por el cerebro para formar imágenes visuales.[2]​ La hemorragia retiniana puede afectar a los adultos, y los recién nacidos y los bebés también pueden sufrir este trastorno.","Las hemorragias de la retina, especialmente las leves que no están asociadas a una enfermedad crónica, normalmente se reabsorben sin tratamiento.  La cirugía láser es una opción de tratamiento que utiliza un rayo láser para sellar los vasos sanguíneos dañados en la retina.[11]​ También se ha demostrado que los fármacos contra el factor de crecimiento endotelial vascular (VEGF), como Avastin y Lucentis, reparan las hemorragias de la retina en pacientes diabéticos y en pacientes con hemorragias asociadas al crecimiento de nuevos vasos.[12]​[13]​
Los tratamientos alternativos pueden incluir el suministro de los nutrientes necesarios para fortalecer y curar los vasos sanguíneos dañados, a través del consumo de suplementos dietéticos como Vitaminas A, B, C y E. También, los ácidos grasos esenciales, incluyendo el omega-3 del aceite de pescado y el aceite de linaza.[14]​","Una hemorragia retiniana se diagnostica generalmente utilizando un oftalmoscopio o una cámara de fondo de ojo para examinar el interior del ojo. Se puede realizar una angiografía con fluoresceína, en la que se suele inyectar un tinte fluorescente en el torrente sanguíneo del paciente de antemano para que el oftalmólogo que lo administra pueda tener una visión y un examen más detallados de los vasos sanguíneos de la retina.[10]​ El tinte fluorescente puede tener efectos secundarios peligrosos: véase Fluoresceína
La exploración ocular puede realizarse para comprobar las condiciones del ojo o los ojos, por ejemplo, para comprobar cómo que ve el paciente de frente, a los lados y a diferentes distancias.
Los análisis de sangre pueden proporcionar información sobre el estado de salud general del paciente y también pueden revelar la condición médica que puede haber causado la hemorragia de la retina.[1]​"
Taquicardia sinusal,"En cardiología, una taquicardia sinusal es uno de los trastornos del ritmo cardíaco caracterizado por una frecuencia de impulsos cardíacos aumentado originándose del nodo sinusal que es el marcapasos natural del corazón, y definida con una frecuencia cardíaca mayor de 100 latidos por minuto en un adulto promedio—cuando la frecuencia normal es de 60-100 lpm en adultos—aunque rara vez supera los 200 lpm. Por lo general, la taquicardia sinusal comienza y termina gradualmente, en contraste con taquicardias supraventriculares, las cuales aparecen de manera gradual y pueden terminar de forma brusca.[1]​","En general, no se requiere tratamiento de la taquicardia sinusal fisiológica, aunque se suele tratar las patologías de base, de existir alguna. En los infartos agudos de miocardio, la taquicardia disminuye con el tiempo. De persistir puede reflejar un infarto de gran proporción o con disfunción anterior o ventricular y tiende a estar asociado a una morbilidad y mortalidad muy elevada. Los beta-bloqueantes son fármacos usados para disminuir la frecuencia cardíaca y son uno de los medicamentos indicados durante el tratamiento de un infarto. Los inhibidores de la enzima convertidora de angiotensina son medicamentos usados en pacientes con insuficiencia cardíaca y su uso mejora la taquicardia y la evolución de estos pacientes.[2]​


== Referencias ==","En un electrocardiograma se percibe una frecuencia cardíaca mayor de 100 latidos por minuto, un ritmo cardíaco regular, las ondas P son consistentes y con una morfología normal sin indicaciones de enfermedad auricular, el intervalo P-R dura entre 0,12 y 0,20 segundos y se vuelve más corto al aumentar la frecuencia cardíaca, y el complejo QRS dura menos de 0,12 segundos, es consistente y de morfología normal."
Tiña corporal,"La tiña corporal (también tinea corporis, tiña circinada o herpes circinado) es un tipo de dermatofitosis, una infección superficial de la piel localizada en todas las regiones del cuerpo humano que no tienen pelo, excepto en las palmas, las plantas y las ingles. Es causado por hongos dermatofitos de los géneros Microsporum, Epidermophyton y Trichophyton.","Es una infección de fácil resolución si se recupera la higiene de la zona afectada (limpia y seca). Tratamientos antimicóticos como el miconazol o el clotrimazol son efectivos en controlar estos organismos.[2]​


== Referencias ==","La combinación de la historia médica, el examen físico y el diagnóstico de laboratorio son críticos para el correcto diagnóstico. La dermatitis seborreica, candidiasis cutánea y la psoriasis son muy similares en su presentación clínica. El examen directo con KOH al 30% y el cultivo micológico (agar de Sabouraud) confirman la dermatofitosis correcta, de existir una."
Tracoma,"El tracoma es una inflamación de la conjuntiva causada por la bacteria Chlamydia trachomatis.[1]​ La bacteria es contagiosa y se transmite por contacto directo con una persona infectada o por ciertas moscas que llegan a alimentarse de secreciones de personas infectadas.[1]​ Con infecciones repetidas a través de los años, el tracoma puede causar cicatrices del interior del párpado y la córnea que llevan a la discapacidad visual o la ceguera.[2]​ Es estimado que el tracoma es la causa principal de ceguera infecciosa mundial.[1]​[2]​",,"Por lo general, el diagnóstico del tracoma se hace clínicamente por un profesional basado en los signos, los síntomas, y los factores de riesgo como exposición a una área endémica.[13]​ En algunos casos, un médico puede obtener una prueba de laboratorio para identificar la bacteria en secreciones del ojo.[13]​ Éste puede determinar si se necesita antibióticos. También un médico puede evaluar para complicaciones y si se necesita cirugía.[13]​
La Organización Mundial de la Salud (OMS) ha creado este sistema para clasificar el tracoma:[14]​[15]​"
Cáncer de vagina,"El cáncer de vagina es un crecimiento de células malignas poco frecuente que ocurre principalmente en mujeres mayores de 50 años, aunque puede aparecer en cualquier edad, incluyendo la infancia. A menudo tiene cura, en especial si se diagnostica en sus estadios tempranos. La mayoría de los cánceres de vagina provienen de la diseminación de un cáncer fuera de la vagina, en especial de la infiltración de un cáncer cervical o de un cáncer endometrial.[1]​","El tratamiento específico para cada mujer depende del tipo de cáncer que se haya desarrollado en su vagina y del grado de infiltración que tenga.[1]​ Se ha usado la radioterapia y la extirpación del cáncer quirúrgicamente. Si el tumor se originó en el endometrio y se extendió hacia la vagina pueden añadirle quimioterapia al tratamiento. En otros casos el especialista puede decidir combinar los tres métodos: cirugía, quimioterapia y radioterapia.[5]​","De un 5-10% de las pacientes son asintomáticas por lo que el diagnóstico en ellas es por lo general hecho durante un examen físico de rutina.[1]​ Algunos de los exámenes que se emplean para diagnosticar el cáncer de vagina incluyen el examen físico y la historia, el examen pélvico, el papanicolau, la biopsia y la colposcopia."
